Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
8431,1.01,Very Good,F,SI1,63.5,58.0,6.29,6.24,3.98,4632
3647,0.7,Ideal,H,VVS1,61.7,54.0,5.72,5.76,3.54,2618
19516,1.06,Ideal,H,VVS1,61.3,57.0,6.55,6.53,4.01,7193
18235,0.27,Ideal,I,VS1,62.5,54.0,4.16,4.19,2.61,432
18632,1.0,Premium,J,VVS2,59.6,61.0,6.4,6.36,3.8,3864
21194,0.45,Premium,I,SI1,60.3,59.0,4.99,4.93,2.99,941
26418,0.3,Ideal,G,VS1,61.1,56.0,4.36,4.35,2.66,673
11445,1.0,Good,H,VVS2,63.7,52.0,6.41,6.36,4.07,6194
12132,0.26,Good,H,VVS2,63.3,58.0,4.04,4.08,2.57,468
25079,0.33,Ideal,I,VS1,,55.0,4.44,4.47,2.75,573
8850,0.33,Premium,E,VS2,62.0,59.0,4.39,4.41,2.73,723
26315,0.25,Ideal,F,VVS1,62.3,56.0,4.01,4.03,2.5,705
17533,0.72,Very Good,H,SI1,63.0,58.0,5.68,5.71,3.59,2198
25528,0.38,Ideal,I,SI1,61.7,56.0,4.64,4.67,2.87,610
14278,1.21,Ideal,E,SI1,62.3,56.0,6.87,6.81,4.26,7088
20763,1.04,Ideal,I,SI1,61.8,59.0,6.46,6.48,4.0,4484
23732,0.3,Very Good,E,SI1,,58.0,4.27,4.33,2.66,526
8117,0.53,Good,I,SI1,65.5,59.0,5.01,5.06,3.3,923
25186,0.53,Ideal,F,VS1,61.7,56.0,5.2,5.22,3.21,1630
26270,0.43,Ideal,G,VS1,62.3,56.0,4.85,4.82,3.01,1008
14925,0.54,Premium,G,VS2,62.0,58.0,5.21,5.18,3.22,1637
25762,1.21,Very Good,G,SI2,62.7,59.0,6.66,6.74,4.2,5308
21576,0.41,Ideal,F,VS1,60.8,57.0,4.77,4.8,2.91,1007
23434,0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,3146
2301,1.21,Premium,I,SI1,61.7,56.0,6.87,6.82,4.22,6098
13729,0.8,Very Good,F,SI1,63.4,57.0,5.89,5.82,3.71,2851
11338,0.7,Very Good,F,SI1,60.0,58.0,5.75,5.79,3.46,2553
12683,0.3,Premium,G,VS1,61.8,59.0,4.34,4.37,2.69,605
11746,0.52,Good,G,SI1,64.3,61.0,5.01,4.97,3.21,1147
3310,0.46,Good,F,VS1,61.6,62.2,4.84,5.0,3.04,1168
17000,1.02,Ideal,F,VS2,62.8,57.0,6.41,6.36,4.01,7037
7979,0.33,Premium,I,SI1,61.4,58.0,4.5,4.46,2.75,572
4432,0.71,Ideal,G,VS1,61.0,57.0,5.77,5.74,3.51,2686
6237,1.47,Premium,F,SI2,61.6,60.0,7.38,7.33,4.53,8314
20676,0.4,Ideal,F,VVS2,62.2,55.0,4.75,4.77,2.96,1012
6819,0.7,Very Good,F,VVS2,58.5,60.0,5.82,5.94,3.44,3028
14675,0.26,Ideal,G,VS1,62.1,55.0,4.09,4.12,2.55,478
17286,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,6208
23144,1.0,Premium,J,VS1,62.8,57.0,6.39,6.35,4.0,4144
21898,1.03,Ideal,J,SI1,62.3,57.0,6.48,6.43,4.02,3738
15556,1.21,Very Good,E,VS1,60.0,58.0,6.89,6.97,4.16,10430
24224,0.66,Premium,J,SI1,61.0,61.0,5.64,5.59,3.43,1188
5760,1.6,Premium,H,SI2,62.4,60.0,7.48,7.43,4.65,9229
12582,0.4,Good,G,SI1,63.2,58.0,4.61,4.7,2.94,655
20467,0.31,Ideal,E,VVS2,61.3,55.0,4.34,4.37,2.67,864
11290,0.53,Premium,F,SI1,61.4,58.0,5.19,5.17,3.18,1324
2470,0.76,Ideal,J,SI1,62.9,54.0,5.82,5.85,3.67,1896
7070,1.01,Good,D,SI2,63.1,54.0,6.37,6.43,4.04,4260
2816,0.32,Ideal,H,VVS1,61.9,55.0,4.37,4.38,2.71,730
1191,0.28,Ideal,F,IF,61.9,56.0,4.18,4.21,2.59,787
21063,0.55,Very Good,E,SI2,59.6,57.0,5.34,5.39,3.2,1145
12689,1.0,Very Good,F,SI2,62.8,57.0,6.37,6.44,4.02,4081
22643,0.33,Very Good,G,VVS1,61.2,60.0,4.42,4.44,2.71,868
23468,1.02,Premium,I,SI1,60.2,60.0,6.45,6.39,3.87,3713
19633,0.72,Ideal,F,VS2,62.6,56.0,5.75,5.72,3.59,2956
1638,1.01,Premium,F,VS1,62.6,58.0,6.37,6.48,4.02,6066
8870,0.3,Ideal,G,VVS1,61.5,55.0,4.33,4.35,2.67,764
23297,0.31,Ideal,H,VS1,61.3,55.0,4.36,4.41,2.69,717
25962,0.35,Ideal,E,VS2,62.0,57.0,4.51,4.55,2.81,767
3570,1.02,Premium,G,SI2,62.5,58.0,6.42,6.34,3.99,3656
19662,1.02,Premium,F,SI2,63.0,58.0,6.44,6.38,4.04,4238
1144,1.19,Premium,G,VS1,62.6,58.0,6.78,6.71,4.22,8109
22919,1.08,Premium,D,SI1,62.8,58.0,6.62,6.51,4.12,6623
8221,1.5,Very Good,E,SI2,63.3,57.0,7.28,7.23,4.59,7728
26143,1.07,Ideal,G,VS2,62.2,57.0,6.53,6.55,4.07,6355
13482,0.44,Premium,G,VS2,60.6,58.0,4.96,4.9,2.99,1063
25192,1.01,Good,F,VVS2,63.6,60.0,6.36,6.31,4.03,7059
23172,0.77,Ideal,D,SI2,61.5,55.0,5.9,5.93,3.64,2885
13544,1.02,Premium,G,VS2,61.5,59.0,6.4,6.45,3.95,5250
19738,0.69,Very Good,G,VVS1,60.8,55.0,5.74,5.77,3.5,3323
11298,0.41,Ideal,E,VS1,61.8,57.0,4.76,4.79,2.95,1079
2150,0.52,Ideal,F,SI1,61.6,57.0,5.16,5.19,3.19,1250
24033,0.4,Ideal,F,IF,62.3,57.0,4.69,4.71,2.93,1292
3612,1.02,Ideal,G,SI1,62.1,55.0,6.46,6.49,4.02,5426
12931,2.1,Fair,G,SI2,61.4,66.0,8.26,8.19,5.05,11946
9354,1.2,Premium,E,SI1,,57.0,6.98,6.84,4.17,7362
17889,0.83,Very Good,I,VS2,61.6,58.0,6.05,6.07,3.73,2865
2942,0.84,Premium,E,VS2,62.4,60.0,6.04,5.98,3.75,3528
5161,1.01,Good,F,VS2,65.2,57.0,6.19,6.23,4.05,5700
4838,1.01,Good,G,SI1,64.2,56.0,6.38,6.26,4.05,4138
6586,0.32,Ideal,H,VS2,62.0,57.0,4.35,4.39,2.71,505
13724,0.81,Ideal,D,SI2,61.9,54.0,5.96,5.99,3.7,3160
5528,0.6,Very Good,H,VS2,60.8,60.0,5.39,5.44,3.29,1557
9016,1.18,Ideal,I,VS1,62.6,55.3,6.73,6.79,4.24,6541
23704,0.3,Ideal,G,VS1,61.8,55.0,4.33,4.31,2.67,776
10906,0.32,Very Good,G,SI1,62.0,55.0,4.41,4.43,2.74,477
8009,0.83,Very Good,F,SI1,,58.0,5.97,6.01,3.71,3322
16004,0.7,Good,G,SI1,64.6,59.0,5.49,5.54,3.56,2137
12664,0.37,Ideal,G,VS1,60.9,57.0,4.65,4.68,2.84,798
16706,0.55,Ideal,F,VS2,61.7,57.0,5.24,5.29,3.25,1692
7234,0.61,Ideal,H,VS2,62.0,53.0,5.47,5.49,3.4,1591
25427,0.3,Very Good,F,VS2,63.0,55.0,4.28,4.29,2.7,524
20470,0.33,Ideal,G,VS1,61.4,54.0,4.48,4.44,2.74,854
15743,1.53,Ideal,H,SI2,61.2,56.0,7.46,7.43,4.56,9562
8789,0.75,Ideal,G,VVS2,62.0,56.0,5.79,5.85,3.61,3740
10035,1.21,Ideal,H,SI2,61.1,56.0,6.92,6.87,4.21,6098
5500,0.95,Fair,J,I1,64.9,56.0,6.17,6.12,3.99,2322
5885,0.34,Very Good,E,SI1,62.9,56.0,4.45,4.48,2.81,596
22400,1.71,Premium,G,VS2,61.3,58.0,7.79,7.7,4.75,13951
22381,0.5,Good,E,SI1,64.0,56.0,5.03,4.9,3.18,1147
15711,1.2,Very Good,I,SI2,63.7,56.0,6.66,6.71,4.26,5490
4634,0.32,Premium,G,VVS2,62.0,55.0,4.42,4.39,2.73,936
26766,0.34,Premium,F,VS2,62.3,57.0,4.48,4.44,2.78,880
5929,1.07,Good,J,VS2,61.7,57.7,6.55,6.58,4.05,4602
16887,0.41,Ideal,D,VS2,61.6,55.0,4.77,4.74,2.93,1076
23010,0.32,Very Good,G,IF,62.1,53.0,4.4,4.45,2.75,918
7128,0.34,Ideal,H,VVS1,62.0,54.0,4.48,4.46,2.77,995
16795,0.57,Ideal,D,VS2,62.1,56.0,5.29,5.34,3.3,1864
892,0.32,Ideal,E,VVS2,62.3,56.0,4.4,4.37,2.73,1080
25523,0.52,Premium,E,VS2,62.3,57.0,5.17,5.1,3.2,1815
13068,1.27,Ideal,F,VVS2,62.2,54.0,6.92,6.95,4.31,12576
9895,0.52,Very Good,D,VS2,63.4,56.0,5.16,5.09,3.25,1828
19290,0.43,Premium,F,VS1,59.9,58.0,4.93,4.89,2.94,1129
10099,0.32,Premium,H,VS1,61.3,60.0,4.38,4.33,2.67,720
14035,0.38,Good,I,IF,56.6,59.0,4.82,4.87,2.74,886
3062,1.27,Ideal,G,VS2,62.0,58.0,6.89,6.95,4.29,8915
2426,0.26,Premium,E,VVS1,61.7,59.0,4.14,4.1,2.54,769
23022,0.74,Ideal,G,VS2,61.3,55.0,5.82,5.89,3.59,2604
3991,1.01,Premium,H,VS2,61.0,61.0,6.47,6.39,3.92,5190
1354,0.71,Very Good,F,SI1,62.1,58.0,5.64,5.72,3.53,2221
1924,0.31,Ideal,E,VS2,61.5,56.0,4.34,4.37,2.68,680
7941,0.56,Ideal,D,SI1,62.3,56.0,5.26,5.33,3.3,1723
14165,0.4,Very Good,E,VS2,62.0,60.0,4.67,4.69,2.9,879
24294,0.32,Premium,E,VS2,60.5,58.0,4.48,4.44,2.7,900
10194,1.0,Premium,E,SI2,62.7,58.0,6.41,6.34,4.0,4579
15297,0.77,Very Good,J,SI2,61.2,56.0,5.91,5.96,3.63,2001
25685,0.31,Very Good,E,VVS2,62.4,56.0,4.32,4.35,2.7,749
14064,0.55,Very Good,E,SI1,63.2,58.0,5.21,5.23,3.3,1381
2455,1.12,Premium,E,SI1,58.8,61.0,6.8,6.74,3.98,5547
20873,0.38,Premium,G,SI1,60.0,60.0,4.72,4.65,2.81,855
16332,1.05,Premium,E,SI1,61.2,58.0,6.57,6.53,4.01,5433
3590,0.72,Premium,J,SI2,60.3,58.0,5.81,5.73,3.48,1667
673,1.02,Very Good,E,VS1,58.9,59.0,6.52,6.65,3.88,7253
18229,0.77,Premium,I,VS2,61.6,58.0,5.92,5.96,3.66,2275
3741,0.3,Very Good,G,VS1,60.3,62.0,4.3,4.33,2.6,605
4536,1.77,Good,J,SI2,63.4,60.0,7.61,7.65,4.84,8109
4278,0.31,Good,H,VVS2,63.6,56.0,4.33,4.28,2.74,802
25140,1.0,Fair,F,VS1,65.3,59.0,6.25,6.21,4.07,6397
133,0.31,Ideal,E,VS1,61.8,56.0,4.34,4.33,2.68,942
1469,2.56,Good,J,SI2,63.6,62.0,8.62,8.57,5.47,15231
2119,1.59,Ideal,H,VS1,61.8,56.0,7.49,7.53,4.64,14031
26471,0.38,Ideal,D,SI1,61.8,55.0,4.67,4.69,2.89,884
11077,1.39,Good,F,SI2,63.8,55.0,7.08,7.05,4.51,7096
15807,1.21,Very Good,H,VS2,62.8,57.0,6.77,6.82,4.27,6684
3746,0.51,Ideal,E,SI2,,56.0,5.12,5.14,3.18,1385
17033,0.51,Ideal,F,SI1,61.9,56.0,5.11,5.16,3.18,1346
26048,0.3,Very Good,G,VVS2,63.0,57.0,4.28,4.32,2.71,684
16177,0.44,Premium,G,VS1,62.3,59.0,4.87,4.82,3.02,1031
3975,0.59,Good,F,VS2,63.5,55.0,5.31,5.36,3.39,1573
17532,1.7,Premium,G,VS2,62.6,61.0,7.64,7.54,4.75,15568
14942,1.1,Ideal,G,VS1,61.5,57.0,6.62,6.65,4.08,6984
10096,0.4,Premium,D,VS1,62.1,58.0,4.7,4.73,2.93,1123
16969,0.32,Premium,I,VS1,,60.0,4.46,4.44,2.66,648
3900,1.01,Ideal,G,SI1,61.6,57.0,6.4,6.32,3.92,5273
5399,0.5,Ideal,E,VS2,62.2,54.0,5.08,5.11,3.17,1624
17419,0.43,Very Good,G,VVS1,62.3,59.0,4.77,4.83,2.99,1207
20363,1.02,Premium,G,SI1,62.6,59.0,6.43,6.38,4.01,4449
17278,0.51,Very Good,F,VS1,,57.0,5.06,5.09,3.21,1627
13453,0.7,Ideal,F,SI1,60.7,57.0,5.78,5.82,3.52,2671
10205,1.08,Ideal,H,VS2,62.1,56.0,6.59,6.56,4.08,5839
20147,0.71,Very Good,I,SI2,61.1,56.0,5.75,5.79,3.53,1938
9298,0.54,Ideal,F,VVS2,61.6,56.0,5.23,5.26,3.23,2231
5130,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,642
21868,1.22,Ideal,I,SI1,,57.0,6.99,6.93,4.19,5807
21780,0.52,Premium,G,SI2,61.4,56.0,5.27,5.18,3.2,1235
22502,0.95,Very Good,E,SI1,62.8,59.0,6.21,6.25,3.91,4711
20344,0.81,Premium,G,VS1,62.3,56.0,5.95,5.89,3.69,3266
2495,1.27,Ideal,G,VS1,59.6,57.0,7.06,7.09,4.22,9262
5937,0.4,Good,D,VVS2,60.8,62.0,4.74,4.77,2.89,1080
13248,0.3,Very Good,I,SI1,60.5,62.0,4.33,4.37,2.63,394
16995,1.54,Premium,E,VS2,62.7,58.0,7.33,7.37,4.61,15178
9023,0.54,Very Good,D,VS2,63.2,55.0,5.21,5.17,3.28,1786
3438,1.1,Premium,F,SI1,59.5,59.0,6.77,6.7,4.01,5821
2693,1.2,Premium,I,SI1,61.4,57.0,6.87,6.8,4.2,5098
11791,0.35,Premium,G,IF,,60.0,4.54,4.57,2.76,1044
7875,1.01,Good,F,VS2,62.1,58.0,6.28,6.35,3.92,6288
20083,0.5,Ideal,J,VS2,61.9,54.0,5.1,5.14,3.17,1054
16218,1.01,Good,E,VS2,63.3,58.0,6.35,6.38,4.03,6399
13516,0.32,Very Good,I,SI1,63.1,56.0,4.39,4.36,2.76,554
10028,1.0,Good,H,SI1,63.7,60.0,6.33,6.3,4.02,4788
6664,0.31,Premium,G,VS2,62.2,59.0,4.35,4.3,2.69,698
22565,1.01,Premium,G,IF,61.3,58.0,6.48,6.4,3.95,7352
11640,0.28,Good,F,VVS2,64.9,57.0,4.13,4.16,2.69,492
3719,0.34,Ideal,G,VS2,62.1,55.0,4.46,4.49,2.78,596
4805,0.33,Ideal,F,VVS2,62.4,55.0,4.43,4.45,2.77,750
9204,0.78,Ideal,G,VS2,61.7,55.0,5.94,5.89,3.65,3184
11988,0.9,Very Good,H,SI1,62.8,58.0,6.13,6.16,3.86,3437
17092,0.23,Premium,G,VVS2,58.1,59.0,4.09,4.03,2.36,550
15702,0.55,Ideal,D,SI1,61.3,56.0,5.28,5.33,3.25,1611
18560,0.32,Good,D,SI1,63.1,57.0,4.37,4.38,2.76,589
2469,1.03,Premium,J,SI2,62.0,58.0,6.47,6.52,4.03,3378
4009,0.71,Very Good,F,VS2,63.1,58.0,5.65,5.7,3.58,2588
1199,0.9,Ideal,F,SI1,,56.0,6.13,6.16,3.84,4054
19589,0.26,Very Good,F,VS1,60.5,59.0,4.12,4.18,2.51,453
10489,0.32,Ideal,G,VS2,61.8,55.0,4.43,4.41,2.73,720
5894,0.7,Very Good,F,VS2,61.0,59.0,5.69,5.75,3.49,2362
6115,0.3,Ideal,F,IF,62.3,55.0,4.3,4.34,2.69,886
23084,0.59,Ideal,G,VVS2,62.6,57.0,5.33,5.37,3.35,2125
12354,0.73,Premium,G,SI1,62.8,59.0,5.76,5.68,3.59,2351
8785,0.4,Ideal,D,VS1,62.2,57.0,4.71,4.74,2.94,1043
13600,1.51,Fair,H,VS2,65.6,56.0,7.08,4.7,4.0,7188
13704,0.31,Ideal,E,VS2,61.6,57.0,4.35,4.38,2.69,680
191,0.32,Ideal,D,VS2,61.7,54.0,4.38,4.43,2.72,758
1829,1.64,Premium,G,VS2,62.4,58.0,7.49,7.52,4.68,14201
20781,0.7,Premium,E,SI1,62.4,60.0,5.72,5.63,3.54,2194
10375,0.42,Ideal,G,IF,62.2,54.0,4.81,4.84,3.0,1289
593,1.04,Very Good,D,SI1,63.4,55.0,6.41,6.46,4.08,5557
7021,0.53,Ideal,F,VS2,61.5,55.0,5.27,5.2,3.22,1753
10696,0.31,Ideal,E,VS2,62.2,55.0,4.32,4.36,2.7,642
10368,0.32,Premium,I,VS1,62.0,58.0,4.37,4.4,2.72,505
24939,0.27,Ideal,E,VVS1,62.0,56.0,4.19,4.16,2.59,752
15835,1.01,Premium,E,VVS2,61.8,59.0,6.42,6.39,3.96,9711
